model,dataset,llm_model,regex_field_value_accuracy,llm_field_value_accuracy,regex_field_value_f1,llm_field_value_f1,regex_document_fields_exact,llm_document_fields_exact,llm_ok_count,llm_median_latency_ms,llm_prompt_tokens,llm_completion_tokens
tesseract,sroie_2019,deepseek-v4-flash,0.21398891966759004,0.4342105263157895,0.2334784329244163,0.4388603086664028,0.0,0.05263157894736842,361,1837.13,128285,24561
tesseract,cord_v2,deepseek-v4-flash,0.05602380952380952,0.14254761904761903,0.07524603174603174,0.16270634920634922,0.0,0.0,100,1930.71,14885,8423
paddleocr,sroie_2019,deepseek-v4-flash,0.2950138504155125,0.5810249307479224,0.32538583300356155,0.5810249307479224,0.0,0.07479224376731301,361,1817.5,134746,26059
paddleocr,cord_v2,deepseek-v4-flash,0.0105,0.5071666666666667,0.015428571428571432,0.5526507936507936,0.0,0.08,100,2315.67,17538,9258
easyocr,sroie_2019,deepseek-v4-flash,0.12673130193905818,0.37119113573407203,0.14771138372246406,0.37168579343094577,0.0,0.002770083102493075,361,2004.5,138689,25607
easyocr,cord_v2,deepseek-v4-flash,0.004,0.3046190476190476,0.006666666666666667,0.33776934176934176,0.0,0.01,100,2127.18,17414,9822
doctr,sroie_2019,deepseek-v4-flash,0.062326869806094184,0.6170360110803325,0.07661258409180847,0.6171349426197071,0.0,0.14958448753462603,361,1996.28,151131,25377
doctr,cord_v2,deepseek-v4-flash,0.0,0.5181666666666667,0.0,0.549962481962482,0.0,0.08,100,2338.12,17974,9227
docling,sroie_2019,deepseek-v4-flash,0.20429362880886426,0.5664819944598338,0.2236842105263158,0.568526579606912,0.0,0.055401662049861494,361,2365.12,157191,26087
docling,cord_v2,deepseek-v4-flash,0.04621428571428571,0.44333333333333336,0.06117460317460318,0.46947374847374845,0.0,0.07,100,2299.79,16813,9674
surya2,sroie_2019,deepseek-v4-flash,0.29986149584487537,0.6135734072022161,0.3183287165281625,0.6138702018203404,0.019390581717451522,0.15512465373961218,361,2261.73,130262,26372
surya2,cord_v2,deepseek-v4-flash,0.1890238095238095,0.4904047619047619,0.24575396825396825,0.5203330558330559,0.03,0.09,100,2145.9,19535,9786
unlimited_ocr,sroie_2019,deepseek-v4-flash,0.30886426592797783,0.6045706371191135,0.33758738952644773,0.6054280437936947,0.002770083102493075,0.13019390581717452,361,1981.97,185705,25876
unlimited_ocr,cord_v2,deepseek-v4-flash,0.08402380952380951,0.4504047619047619,0.1079126984126984,0.4677799422799423,0.01,0.08,100,2171.39,19082,10803
paddleocr_vl_vllm,sroie_2019,deepseek-v4-flash,0.31024930747922436,0.5851800554016621,0.3367959372114497,0.5920722859781031,0.002770083102493075,0.12188365650969529,361,1946.7,148973,26301
paddleocr_vl_vllm,cord_v2,deepseek-v4-flash,0.2869047619047619,0.49323809523809525,0.3411774891774892,0.5198027528027528,0.09,0.08,100,2169.41,36341,10040
