model,compute_type,dataset,cer,wer,field_f1_regex,field_acc_regex,latency_p50_ms,latency_p95_ms,cost_per_1000_pages,pages_per_minute,error_rate
tesseract,cpu,sroie_2019,0.3346762482090754,0.5591494826296924,0.2334784329244163,0.21398891966759004,670.8665052428842,1506.9920010864735,,78.63285010830042,0.0
tesseract,cpu,cord_v2,0.9523406782961807,0.9760330163660847,0.07524603174603174,0.05602380952380952,474.6279800310731,1011.3086810335516,,108.89555960804731,0.0
paddleocr,gpu,sroie_2019,0.20449025673072008,0.3256274360350217,0.32538583300356155,0.2950138504155125,296.98965325951576,3331.350453197956,0.22135321637426905,79.71297729831988,0.0
paddleocr,gpu,cord_v2,0.9082984263592578,0.94109155881598,0.015428571428571432,0.0105,108.17237477749586,2228.274307213723,0.34194933333333327,141.04963059905515,0.0
easyocr,gpu,sroie_2019,0.2832272597645081,0.6156049560022827,0.14863474475662844,0.12742382271468145,398.4000850468874,2421.6466043144464,0.20514152046783624,87.93589187654771,0.0
easyocr,gpu,cord_v2,0.9184519000086513,0.9622301081076902,0.006666666666666667,0.004,192.8103119134903,599.8970337212085,0.08628533333333334,211.78751383931322,0.0
doctr,gpu,sroie_2019,0.19707253045942513,0.3199012903130579,0.07661258409180847,0.062326869806094184,108.71662013232708,281.3763152807951,0.04787543859649123,449.31334439769074,0.0
doctr,gpu,cord_v2,0.9100636029081437,0.9374529571244811,0.0,0.0,100.41633807122707,235.87986053898928,0.09386844444444445,500.42835206552144,0.0
docling,gpu,sroie_2019,0.5909216043510933,0.7596053950948716,0.2236842105263158,0.20429362880886426,731.9972589612007,3239.7881001234055,0.39775906432748537,56.65543350239152,0.0
docling,gpu,cord_v2,0.9218894091413836,0.9530211755051848,0.06117460317460318,0.04621428571428571,337.97033689916134,1333.171394933015,0.5382383333333333,123.20912545962018,0.0
surya2,gpu,sroie_2019,0.19146869984302378,0.2735161818000749,0.3183287165281625,0.29986149584487537,2667.980009689927,5872.22883105278,1.0608526315789475,12.14570285066096,0.0
surya2,gpu,cord_v2,0.8958860196367675,0.9393110167472433,0.24575396825396825,0.1890238095238095,1485.3493450209498,26976.930591184642,1.161600888888889,11.191504674504689,0.0
unlimited_ocr,gpu,sroie_2019,0.6552367887087063,0.47787833343336866,0.33758738952644773,0.30886426592797783,1600.7458595559,2521.864759735763,0.3878514619883041,34.433733715602564,0.0
unlimited_ocr,gpu,cord_v2,0.9224325035663544,0.9543438658886545,0.1079126984126984,0.08402380952380951,608.2357750274241,1486.780914245173,0.20625344444444446,73.987515268698,0.0
paddleocr_vl_vllm,gpu,sroie_2019,0.33696176984889337,0.6462286763367265,0.3367959372114497,0.31024930747922436,694.2519275471568,1154.251927509904,0.20483040935672514,68.15592012489255,0.0
paddleocr_vl_vllm,gpu,cord_v2,1.0804853223391102,1.0658046340885563,0.3411774891774892,0.2869047619047619,249.2796746082604,1190.8639830071193,0.24092,67.12781848982878,0.0
